"file","spp_name","file_binomial","english_common_name","species_id","aou","french_common_name","spanish_common_name","sporder","family","genus","species","binomial","old_genus","new_binomial","matched_filename","climate_vol_1.4","climate_vol_2.1"
"Agelaius_phoeniceus_22724191.shp","Agelaius_phoeniceus","Agelaius phoeniceus","Red-winged Blackbird",1464,4980,"Carouge à épaulettes","Agelaius phoeniceus","Passeriformes","Icteridae","Agelaius","phoeniceus","Agelaius phoeniceus",NA,NA,"Agelaius_phoeniceus",0.880640477500475,NA
"Antrostomus_vociferus_22736393.shp","Antrostomus_vociferus","Antrostomus vociferus","Eastern Whip-poor-will",724,4170,"","","Caprimulgiformes","Caprimulgidae","Antrostomus","vociferus","Antrostomus vociferus",NA,NA,"Antrostomus_vociferus",0.132177125698023,NA
"Baeolophus_bicolor_22711983.shp","Baeolophus_bicolor","Baeolophus bicolor","Tufted Titmouse",1045,7310,"Mésange bicolore","Baeolophus bicolor","Passeriformes","Paridae","Baeolophus","bicolor","Baeolophus bicolor",NA,NA,"Baeolophus_bicolor",0.120209303197166,NA
"Carduelis_tristis_22720407.shp","Carduelis_tristis","Carduelis tristis","American Goldfinch",1238,5290,"Chardonneret jaune","Spinus tristis","Passeriformes","Fringillidae","Spinus","tristis","Spinus tristis","Carduelis","Carduelis tristis","Carduelis_tristis",0.432024495317727,NA
"Chaetura_pelagica_22686709.shp","Chaetura_pelagica","Chaetura pelagica","Chimney Swift",200,4230,"Martinet ramoneur","Chaetura pelagica","Apodiformes","Apodidae","Chaetura","pelagica","Chaetura pelagica",NA,NA,"Chaetura_pelagica",0.26946953805421,NA
"Coccyzus_americanus_22684331.shp","Coccyzus_americanus","Coccyzus americanus","Yellow-billed Cuckoo",164,3870,"Coulicou à bec jaune","Coccyzus americanus","Cuculiformes","Cuculidae","Coccyzus","americanus","Coccyzus americanus",NA,NA,"Coccyzus_americanus",0.363672592237532,NA
"Contopus_virens_22699816.shp","Contopus_virens","Contopus virens","Eastern Wood-Pewee",869,4610,"Pioui de l'Est","Contopus virens","Passeriformes","Tyrannidae","Contopus","virens","Contopus virens",NA,NA,"Contopus_virens",0.170753699165986,NA
"Corvus_brachyrhynchos_22705990.shp","Corvus_brachyrhynchos","Corvus brachyrhynchos","American Crow",998,4880,"Corneille d'Amérique","Corvus brachyrhynchos","Passeriformes","Corvidae","Corvus","brachyrhynchos","Corvus brachyrhynchos",NA,NA,"Corvus_brachyrhynchos",0.580327952604967,NA
"Corvus_ossifragus_22705993.shp","Corvus_ossifragus","Corvus ossifragus","Fish Crow",1002,4900,"Corneille de rivage","Corvus ossifragus","Passeriformes","Corvidae","Corvus","ossifragus","Corvus ossifragus",NA,NA,"Corvus_ossifragus",0.0893097231142217,NA
"Cyanocitta_cristata_22705611.shp","Cyanocitta_cristata","Cyanocitta cristata","Blue Jay",985,4770,"Geai bleu","Cyanocitta cristata","Passeriformes","Corvidae","Cyanocitta","cristata","Cyanocitta cristata",NA,NA,"Cyanocitta_cristata",0.331451573801224,NA
"Dendroica_discolor_22721725.shp","Dendroica_discolor","Dendroica discolor","Prairie Warbler",1299,6730,"Paruline des prés","Setophaga discolor","Passeriformes","Parulidae","Setophaga","discolor","Setophaga discolor","Dendroica","Dendroica discolor","Dendroica_discolor",0.106327583692386,NA
"Dendroica_pinus_22721719.shp","Dendroica_pinus","Dendroica pinus","Pine Warbler",1294,6710,"Paruline des pins","Setophaga pinus","Passeriformes","Parulidae","Setophaga","pinus","Setophaga pinus","Dendroica","Dendroica pinus","Dendroica_pinus",0.232886519623901,NA
"Dryobates_pubescens_22681155.shp","Dryobates_pubescens","Dryobates pubescens","Downy Woodpecker",743,3940,"Pic mineur","Picoides pubescens","Piciformes","Picidae","Picoides","pubescens","Picoides pubescens","Dryobates","Dryobates pubescens","Dryobates_pubescens",0.656714171885881,NA
"Dumetella_carolinensis_22711013.shp","Dumetella_carolinensis","Dumetella carolinensis","Gray Catbird",1165,7040,"Moqueur chat","Dumetella carolinensis","Passeriformes","Mimidae","Dumetella","carolinensis","Dumetella carolinensis",NA,NA,"Dumetella_carolinensis",0.42779903561027,NA
"Empidonax_virescens_22699842.shp","Empidonax_virescens","Empidonax virescens","Acadian Flycatcher",873,4650,"Moucherolle vert","Empidonax virescens","Passeriformes","Tyrannidae","Empidonax","virescens","Empidonax virescens",NA,NA,"Empidonax_virescens",NA,NA
"Geothlypis_trichas_22721836.shp","Geothlypis_trichas","Geothlypis trichas","Common Yellowthroat",1277,6810,"Paruline masquée","Geothlypis trichas","Passeriformes","Parulidae","Geothlypis","trichas","Geothlypis trichas",NA,NA,"Geothlypis_trichas",NA,NA
"Hirundo_rustica_22712252.shp","Hirundo_rustica","Hirundo rustica","Barn Swallow",1028,6130,"Hirondelle rustique","Hirundo rustica","Passeriformes","Hirundinidae","Hirundo","rustica","Hirundo rustica",NA,NA,"Hirundo_rustica",NA,NA
"Hylatomus_pileatus_22681363.shp","Hylatomus_pileatus","Hylatomus pileatus","Pileated Woodpecker",761,4050,"Grand Pic","Dryocopus pileatus","Piciformes","Picidae","Dryocopus","pileatus","Dryocopus pileatus","Hylatomus","Hylatomus pileatus","Hylatomus_pileatus",NA,NA
"Hylocichla_mustelina_22708670.shp","Hylocichla_mustelina","Hylocichla mustelina","Wood Thrush",1145,7550,"Grive des bois","Hylocichla mustelina","Passeriformes","Turdidae","Hylocichla","mustelina","Hylocichla mustelina",NA,NA,"Hylocichla_mustelina",NA,NA
"Icterus_spurius_22724134.shp","Icterus_spurius","Icterus spurius","Orchard Oriole",1486,5060,"Oriole des vergers","Icterus spurius","Passeriformes","Icteridae","Icterus","spurius","Icterus spurius",NA,NA,"Icterus_spurius",NA,NA
"Melanerpes_carolinus_22680856.shp","Melanerpes_carolinus","Melanerpes carolinus","Red-bellied Woodpecker",734,4090,"Pic à ventre roux","Melanerpes carolinus","Piciformes","Picidae","Melanerpes","carolinus","Melanerpes carolinus",NA,NA,"Melanerpes_carolinus",NA,NA
"Mimus_polyglottos_22711026.shp","Mimus_polyglottos","Mimus polyglottos","Northern Mockingbird",1180,7030,"Moqueur polyglotte","Mimus polyglottos","Passeriformes","Mimidae","Mimus","polyglottos","Mimus polyglottos",NA,NA,"Mimus_polyglottos",NA,NA
"Molothrus_ater_22724354.shp","Molothrus_ater","Molothrus ater","Brown-headed Cowbird",1480,4950,"Vacher à tête brune","Molothrus ater","Passeriformes","Icteridae","Molothrus","ater","Molothrus ater",NA,NA,"Molothrus_ater",NA,NA
