english_common_name,species_id,aou,french_common_name,spanish_common_name,sporder,family,genus,species
Acadian Flycatcher,873,4650,Moucherolle vert,Empidonax virescens,Passeriformes,Tyrannidae,Empidonax,virescens
American Crow,998,4880,Corneille d'Amérique,Corvus brachyrhynchos,Passeriformes,Corvidae,Corvus,brachyrhynchos
American Goldfinch,1238,5290,Chardonneret jaune,Spinus tristis,Passeriformes,Fringillidae,Spinus,tristis
American Robin,1158,7610,Merle d'Amérique,Turdus migratorius,Passeriformes,Turdidae,Turdus,migratorius
Barn Swallow,1028,6130,Hirondelle rustique,Hirundo rustica,Passeriformes,Hirundinidae,Hirundo,rustica
Blue-gray Gnatcatcher,1089,7510,Gobemoucheron gris-bleu,Polioptila caerulea,Passeriformes,Polioptilidae,Polioptila,caerulea
Blue Grosbeak,1454,5970,Guiraca bleu,Passerina caerulea,Passeriformes,Cardinalidae,Passerina,caerulea
Blue Jay,985,4770,Geai bleu,Cyanocitta cristata,Passeriformes,Corvidae,Cyanocitta,cristata
Brown-headed Cowbird,1480,4950,Vacher à tête brune,Molothrus ater,Passeriformes,Icteridae,Molothrus,ater
Brown-headed Nuthatch,1053,7290,Sittelle à tête brune,Sitta pusilla,Passeriformes,Sittidae,Sitta,pusilla
Brown Thrasher,1168,7050,Moqueur roux,Toxostoma rufum,Passeriformes,Mimidae,Toxostoma,rufum
Carolina Chickadee,1030,7360,Mésange de Caroline,Poecile carolinensis,Passeriformes,Paridae,Poecile,carolinensis
Carolina Wren,1069,7180,Troglodyte de Caroline,Thryothorus ludovicianus,Passeriformes,Troglodytidae,Thryothorus,ludovicianus
Chimney Swift,200,4230,Martinet ramoneur,Chaetura pelagica,Apodiformes,Apodidae,Chaetura,pelagica
Chipping Sparrow,1381,5600,Bruant familier,Spizella passerina,Passeriformes,Emberizidae,Spizella,passerina
Common Grackle,1474,5110,Quiscale bronzé,Quiscalus quiscula,Passeriformes,Icteridae,Quiscalus,quiscula
Common Yellowthroat,1277,6810,Paruline masquée,Geothlypis trichas,Passeriformes,Parulidae,Geothlypis,trichas
Downy Woodpecker,743,3940,Pic mineur,Picoides pubescens,Piciformes,Picidae,Picoides,pubescens
Eastern Bluebird,1129,7660,Merlebleu de l'Est,Sialia sialis,Passeriformes,Turdidae,Sialia,sialis
Eastern Kingbird,918,4440,Tyran tritri,Tyrannus tyrannus,Passeriformes,Tyrannidae,Tyrannus,tyrannus
Eastern Meadowlark,1467,5010,Sturnelle des prés,Sturnella magna,Passeriformes,Icteridae,Sturnella,magna
Eastern Phoebe,891,4560,Moucherolle phébi,Sayornis phoebe,Passeriformes,Tyrannidae,Sayornis,phoebe
Eastern Towhee,1359,5870,Tohi à flancs roux,Pipilo erythrophthalmus,Passeriformes,Emberizidae,Pipilo,erythrophthalmus
Eastern Whip-poor-will,724,4170,,,Caprimulgiformes,Caprimulgidae,Antrostomus,vociferus
Eastern Wood-Pewee,869,4610,Pioui de l'Est,Contopus virens,Passeriformes,Tyrannidae,Contopus,virens
European Starling,1181,4930,Étourneau sansonnet,Sturnus vulgaris,Passeriformes,Sturnidae,Sturnus,vulgaris
Field Sparrow,1384,5630,Bruant des champs,Spizella pusilla,Passeriformes,Emberizidae,Spizella,pusilla
Fish Crow,1002,4900,Corneille de rivage,Corvus ossifragus,Passeriformes,Corvidae,Corvus,ossifragus
Gray Catbird,1165,7040,Moqueur chat,Dumetella carolinensis,Passeriformes,Mimidae,Dumetella,carolinensis
Great Crested Flycatcher,900,4520,Tyran huppé,Myiarchus crinitus,Passeriformes,Tyrannidae,Myiarchus,crinitus
Hooded Warbler,1279,6840,Paruline à capuchon,Setophaga citrina,Passeriformes,Parulidae,Setophaga,citrina
House Finch,1222,5190,Roselin familier,Haemorhous mexicanus,Passeriformes,Fringillidae,Haemorhous,mexicanus
House Sparrow,1195,6882,Moineau domestique,Passer domesticus,Passeriformes,Passeridae,Passer,domesticus
Indigo Bunting,1456,5980,Passerin indigo,Passerina cyanea,Passeriformes,Cardinalidae,Passerina,cyanea
Mourning Dove,158,3160,Tourterelle triste,Zenaida macroura,Columbiformes,Columbidae,Zenaida,macroura
Northern Cardinal,1443,5930,Cardinal rouge,Cardinalis cardinalis,Passeriformes,Cardinalidae,Cardinalis,cardinalis
Northern Mockingbird,1180,7030,Moqueur polyglotte,Mimus polyglottos,Passeriformes,Mimidae,Mimus,polyglottos
Northern Parula,1284,6480,Paruline à collier,Setophaga americana,Passeriformes,Parulidae,Setophaga,americana
Orchard Oriole,1486,5060,Oriole des vergers,Icterus spurius,Passeriformes,Icteridae,Icterus,spurius
Ovenbird,1251,6740,Paruline couronnée,Seiurus aurocapilla,Passeriformes,Parulidae,Seiurus,aurocapilla
Pileated Woodpecker,761,4050,Grand Pic,Dryocopus pileatus,Piciformes,Picidae,Dryocopus,pileatus
Pine Warbler,1294,6710,Paruline des pins,Setophaga pinus,Passeriformes,Parulidae,Setophaga,pinus
Prairie Warbler,1299,6730,Paruline des prés,Setophaga discolor,Passeriformes,Parulidae,Setophaga,discolor
Red-bellied Woodpecker,734,4090,Pic à ventre roux,Melanerpes carolinus,Piciformes,Picidae,Melanerpes,carolinus
Red-eyed Vireo,966,6240,Viréo aux yeux rouges,Vireo olivaceus,Passeriformes,Vireonidae,Vireo,olivaceus
Red-winged Blackbird,1464,4980,Carouge à épaulettes,Agelaius phoeniceus,Passeriformes,Icteridae,Agelaius,phoeniceus
Scarlet Tanager,1434,6080,Piranga écarlate,Piranga olivacea,Passeriformes,Cardinalidae,Piranga,olivacea
Summer Tanager,1433,6100,Piranga vermillon,Piranga rubra,Passeriformes,Cardinalidae,Piranga,rubra
Tufted Titmouse,1045,7310,Mésange bicolore,Baeolophus bicolor,Passeriformes,Paridae,Baeolophus,bicolor
White-breasted Nuthatch,1051,7270,Sittelle à poitrine blanche,Sitta carolinensis,Passeriformes,Sittidae,Sitta,carolinensis
White-eyed Vireo,949,6310,Viréo aux yeux blancs,Vireo griseus,Passeriformes,Vireonidae,Vireo,griseus
Wood Thrush,1145,7550,Grive des bois,Hylocichla mustelina,Passeriformes,Turdidae,Hylocichla,mustelina
Yellow-billed Cuckoo,164,3870,Coulicou à bec jaune,Coccyzus americanus,Cuculiformes,Cuculidae,Coccyzus,americanus
Yellow-breasted Chat,1319,6830,Paruline polyglotte,Icteria virens,Passeriformes,Parulidae,Icteria,virens
Yellow-throated Vireo,957,6280,Viréo à gorge jaune,Vireo flavifrons,Passeriformes,Vireonidae,Vireo,flavifrons
Yellow-throated Warbler,1298,6630,Paruline à gorge jaune,Setophaga dominica,Passeriformes,Parulidae,Setophaga,dominica
